"Product name ","Short Description","Regular Price","SKU","Image URL"
"P30 Concealed Stop Cock-20 mm","","3200","AF300126CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300171CHBR---Angle-C.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300171CHBR---Angle-C.png"
"P30 Angle Cock","","1200","AF300166CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300166CHBR---Angle-C.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300166CHBR---Angle-C.png"
"P30 Angle Cock 2 Way","","1400","AF300171CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300171CHBR---Angle-C.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300171CHBR---Angle-C.png"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
