"Product name ","Short Description","Regular Price","SKU","Attr - Basin","Attr - Basin Value","Attr - Shower Name","Attr - Shower  Value","Attr  Kitchen Name","Attr - Kitchen Value","Attr - Seat Allied Products Name","Attr - Allied Products Value","Attr - Colour","Attr - Colour Value","Attr - Coneald Parts","Attr - Coneald Part Value","Conceald Product Code","Concealed Part MRP","Upper Part MRP","Collection Icon","Collection","Functions","Ranges","Categories","Image URL"
"P30 Angle Cock","","1200","AF300166CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Angle Cock ","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","","P30","Faucets>Allied Products ","http://localhost/astral-image/alind/A1---AF300166CHBR---Angle-C.png"
"P30 Angle Cock 2 Way","","1400","AF300171CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Angle Cock 2 Way ","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","","P30","Faucets>Allied Products ","http://localhost/astral-image/alind/A1---AF300171CHBR---Angle-C.png"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
